"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.448475070E-1,-2.481638081E-2,1.298087649E-3,-1.038470119E-2,2.693287595E-2
6.472081320E-1,-2.115119249E-2,1.298087649E-3,-1.099556591E-2,2.387384437E-2
6.495687570E-1,-1.992946304E-2,1.908952487E-3,-1.160643063E-2,2.314166867E-2
6.519294340E-1,-1.931859925E-2,2.519817324E-3,-1.282816008E-2,2.332636807E-2
6.542900590E-1,-1.870773360E-2,4.352411721E-3,-1.527161989E-2,2.453864622E-2
6.566507360E-1,-1.565340906E-2,1.908952487E-3,-1.588248461E-2,2.238139032E-2
6.590113610E-1,-1.259908639E-2,3.741546767E-3,-1.404988952E-2,1.923890708E-2
6.613720380E-1,-1.137735695E-2,5.574141163E-3,-1.404988952E-2,1.891863357E-2
6.637326630E-1,-8.323032409E-3,4.963276442E-3,-1.221729536E-2,1.559388622E-2
6.660932880E-1,-7.712167688E-3,6.185005885E-3,-1.160643063E-2,1.524601785E-2
6.684539650E-1,-4.657844082E-3,6.185005885E-3,-1.099556591E-2,1.344813292E-2
6.708145900E-1,-7.101302966E-3,6.185005885E-3,-1.099556591E-2,1.447706018E-2
6.731752670E-1,-7.712167688E-3,6.795870606E-3,-9.773836471E-3,1.418412024E-2
6.755358920E-1,-4.657844082E-3,9.850194678E-3,-7.941242307E-3,1.348277331E-2
6.778965690E-1,-4.657844082E-3,8.017600514E-3,-6.108647678E-3,1.110373838E-2
6.802571940E-1,-3.436114406E-3,6.795870606E-3,-4.276053514E-3,8.733577340E-3
6.826178190E-1,-4.657844082E-3,6.795870606E-3,-2.443459118E-3,8.593594198E-3
6.849784960E-1,-2.825249685E-3,5.574141163E-3,-2.443459118E-3,6.709961099E-3
6.873391210E-1,-3.436114406E-3,5.574141163E-3,-6.108647794E-4,6.576555915E-3
6.896997980E-1,-3.436114406E-3,3.130682046E-3,-6.108647794E-4,4.688412105E-3
6.920604230E-1,-9.926552884E-4,1.298087649E-3,-0.000000000E0,1.634134654E-3
6.944211010E-1,-3.817904799E-4,7.635809743E-5,6.108647794E-4,7.243965132E-4
6.967817260E-1,-1.603520010E-3,-2.367100911E-3,-0.000000000E0,2.859098310E-3
6.991423510E-1,-9.926552884E-4,-3.588830587E-3,-0.000000000E0,3.723582885E-3
7.015030280E-1,-2.214384731E-3,-3.588830587E-3,-6.108647794E-4,4.261028103E-3
7.038636530E-1,-4.046979360E-3,-3.588830587E-3,-6.108647794E-4,5.443427477E-3
7.062243300E-1,-2.825249685E-3,-2.367100911E-3,-2.443459118E-3,4.422182150E-3
7.085849550E-1,-5.268708803E-3,-1.756236190E-3,-2.443459118E-3,6.067466561E-3
7.109456320E-1,-5.268708803E-3,-1.145371469E-3,-1.832594397E-3,5.694696697E-3
7.133062570E-1,-1.015562657E-2,6.872228696E-4,-4.886918236E-3,1.129119109E-2
7.156668820E-1,-1.076649129E-2,1.908952487E-3,-4.886918236E-3,1.197678606E-2
7.180275590E-1,-1.137735695E-2,3.741546767E-3,-4.276053514E-3,1.271723464E-2
7.203881840E-1,-1.259908639E-2,4.963276442E-3,-5.497782957E-3,1.461494811E-2
7.227488610E-1,-1.320995111E-2,5.574141163E-3,-4.886918236E-3,1.514779944E-2
7.251094860E-1,-1.443168055E-2,8.017600514E-3,-6.108647678E-3,1.760315023E-2
7.274701630E-1,-1.382081583E-2,8.628465235E-3,-5.497782957E-3,1.719566748E-2
7.298307880E-1,-1.443168055E-2,8.628465235E-3,-4.276053514E-3,1.734959508E-2
7.321914130E-1,-1.320995111E-2,8.017600514E-3,-4.886918236E-3,1.620699529E-2
7.345520900E-1,-1.198822167E-2,7.406735327E-3,-5.497782957E-3,1.512622902E-2
